CustomerID,CustomerStatus,Country,Units,Spent,Order_Count
12346-UK,One time,United Kingdom,74215,77183.6,1
12347-ICLD,Return,Iceland,2458,4310,7
12348-FIN,Return,Finland,2341,1797.24,4
12349-ITLY,One time,Italy,631,1757.55,1
12350-NORW,One time,Norway,197,334.4,1
12352-NORW,Return,Norway,536,2506.04,8
12353-BAHR,One time,Bahrain,20,89,1
12354-SPN,One time,Spain,530,1079.4,1
12355-BAHR,One time,Bahrain,240,459.4,1
12356-PORT,Return,Portugal,1591,2811.43,3
12357-SWTZ,One time,Switzerland,2708,6207.67,1
12358-AUT,New,Austria,248,1168.06,2
12359-CYPR,Return,Cyprus,1622,6372.58,4
12360-AUT,Return,Austria,1165,2662.06,3
12361-BELG,One time,Belgium,91,189.9,1
12362-BELG,Regular,Belgium,2229,5226.23,10
12364-BELG,Regular,Belgium,1506,1313.1,4
12365-CYPR,New,Cyprus,174,641.38,2
12367-DEN,One time,Denmark,173,168.9,1
12370-AUT,One time,Austria,51,277.2,1
12370-CYPR,Return,Cyprus,2302,3268.49,3
12371-SWTZ,New,Switzerland,591,1887.96,2
12372-DEN,Return,Denmark,794,1298.04,3
12373-AUT,One time,Austria,197,364.6,1
12374-AUT,One time,Austria,342,742.93,1
12375-FIN,New,Finland,178,457.5,2
12377-SWTZ,New,Switzerland,944,1628.12,2
12378-SWTZ,One time,Switzerland,2529,4008.62,1
12379-BELG,New,Belgium,407,852.24,2
12380-BELG,Regular,Belgium,1127,2724.81,4
12381-NORW,Regular,Norway,808,1845.31,5
12383-BELG,Regular,Belgium,1532,1850.56,5
12384-SWTZ,New,Switzerland,126,585.27,2
12386-AUS,New,Australia,354,401.9,2
12388-AUS,Regular,Australia,1462,2780.66,6
12390-BELG,One time,Belgium,353,549.84,1
12391-CYPR,One time,Cyprus,300,460.89,1
12393-AUS,Return,Australia,816,1582.6,4
12394-BELG,One time,Belgium,182,381.08,1
12394-DEN,One time,Denmark,637,891.4,1
12395-BELG,Regular,Belgium,2118,3018.63,12
12397-BELG,New,Belgium,1263,2409.9,2
12398-SWTZ,One time,Switzerland,1394,1635.66,1
12399-BELG,Return,Belgium,1178,1108.65,4
12401-BELG,One time,Belgium,11,84.3,1
12402-BELG,One time,Belgium,94,225.6,1
12403-DEN,One time,Denmark,96,427.7,1
12405-FIN,One time,Finland,857,1710.39,1
12406-DEN,New,Denmark,1818,3415.3,2
12407-BELG,Return,Belgium,1416,1708.12,5
12408-BELG,Return,Belgium,1409,2888.55,5
12409-SWTZ,Return,Switzerland,5551,11072.67,3
12410-SWTZ,New,Switzerland,211,693.33,2
12412-DEN,Return,Denmark,829,1226.88,3
12413-FRAN,Return,France,286,758.1,3
12414-AUT,Return,Austria,300,562.41,3
12415-AUS,Regular,Australia,77670,124914.53,21
12417-BELG,Return,Belgium,1285,3212.8,8
12417-SPN,One time,Spain,267,436.3,1
12418-SWTZ,One time,Switzerland,407,668.58,1
12420-CYPR,One time,Cyprus,345,600.39,1
12421-SPN,Return,Spain,484,807.04,4
12422-AUS,New,Australia,195,386.2,2
12422-SWTZ,One time,Switzerland,175,417.36,1
12423-BELG,Regular,Belgium,1339,1859.31,8
12424-AUS,New,Australia,740,1760.96,2
12425-PORT,One time,Portugal,496,777.2,1
12426-GER,One time,Germany,258,582.73,1
12427-GER,Return,Germany,533,825.8,3
12428-FIN,Regular,Finland,3536,7956.46,9
12429-AUT,One time,Austria,198,437.98,1
12429-DEN,Return,Denmark,1359,3312.42,3
12430-NORW,One time,Norway,117,256.4,1
12431-AUS,Regular,Australia,2443,5514.67,13
12431-BELG,New,Belgium,475,972.78,2
12432-NORW,Return,Norway,1801,5059.32,5
12433-NORW,Regular,Norway,11071,13375.87,7
12434-AUS,New,Australia,394,806.14,2
12435-DEN,New,Denmark,2055,7829.89,2
12436-NORW,One time,Norway,211,509.01,1
12437-FRAN,Regular,France,2923,4951.41,18
12438-NORW,New,Norway,1180,2906.85,2
12441-FRAN,One time,France,121,173.55,1
12442-SPN,One time,Spain,182,172.06,1
12444-NORW,Regular,Norway,1155,5005.46,5
12445-SPN,One time,Spain,62,133.4,1
12446-RSA,One time,Republic of South Africa,352,1002.31,1
12447-BELG,One time,Belgium,190,476.49,1
12448-SPN,One time,Spain,243,449.45,1
12449-BELG,Return,Belgium,1553,4067.29,4
12450-SPN,New,Spain,128,197.88,2
12451-SWTZ,Return,Switzerland,6575,9035.52,5
12452-SWTZ,New,Switzerland,185,430.57,2
12453-AUT,One time,Austria,473,707.09,1
12454-SPN,One time,Spain,1006,3528.34,1
12455-CYPR,New,Cyprus,1523,1698.9,2
12455-SPN,Regular,Spain,566,767.96,4
12456-SWTZ,Return,Switzerland,1633,3181.04,3
12457-CYPR,New,Cyprus,66,392.7,2
12457-SWTZ,Return,Switzerland,778,1970.53,5
12458-SWTZ,New,Switzerland,506,947.4,2
12461-SWTZ,New,Switzerland,287,826.88,2
12462-SPN,New,Spain,536,1189.59,2
12463-BELG,Regular,Belgium,776,1344.78,4
12464-BELG,Return,Belgium,112,1212.05,8
12465-BELG,New,Belgium,479,742.19,2
12468-GER,New,Germany,366,729.54,2
12471-GER,Regular,Germany,8212,19824.05,30
12472-GER,Regular,Germany,4148,6572.11,7
12473-GER,Return,Germany,2439,3938.55,5
12474-GER,Regular,Germany,4847,7375.79,18
12475-GER,One time,Germany,535,723.38,1
12476-GER,Regular,Germany,2408,6816.42,11
12477-GER,Return,Germany,3653,13219.74,6
12478-GRC,One time,Greece,236,680.99,1
12479-GER,One time,Germany,385,527.2,1
12480-GER,Return,Germany,1707,3281.63,4
12481-GER,Regular,Germany,3304,5596.32,10
12483-SWDN,Regular,Sweden,1110,2484.98,8
12484-SPN,Return,Spain,2191,4541.72,6
12488-FRAN,Regular,France,529,1298.66,3
12489-FRAN,One time,France,105,334.93,1
12490-FRAN,Regular,France,3064,5417.93,10
12491-FRAN,One time,France,260,460.4,1
12492-GER,New,Germany,192,263.21,2
12493-FRAN,New,France,207,433.74,2
12494-FRAN,Return,France,707,1246.1,7
12497-GER,One time,Germany,1236,1043.1,1
12498-GER,Return,Germany,159,403.7,3
12500-GER,Regular,Germany,2678,4257.82,11
12501-GER,One time,Germany,1783,2169.39,1
12502-SPN,Regular,Spain,820,3723.87,5
12504-GER,New,Germany,90,482.05,2
12506-FRAN,One time,France,23,73.5,1
12507-SPN,Return,Spain,905,1304.81,3
12508-FRAN,New,France,272,398.27,2
12509-FRAN,One time,France,55,176.5,1
12510-SPN,New,Spain,353,982.57,2
12512-ISRL,New,Israel,99,138.03,2
12513-FRAN,One time,France,462,612.29,1
12514-ITLY,One time,Italy,440,1017.68,1
12515-ITLY,One time,Italy,131,383.7,1
12516-GER,New,Germany,875,1312.06,2
12517-GER,Return,Germany,1371,2502.84,5
12518-GER,Regular,Germany,1318,2056.89,5
12519-GER,One time,Germany,183,340.84,1
12520-GER,Return,Germany,1439,2634.26,5
12521-GER,One time,Germany,309,599.68,1
12522-GER,New,Germany,194,192.72,2
12523-FRAN,Regular,France,865,1789.77,11
12524-GER,Regular,Germany,3699,4485.72,8
12526-GER,Return,Germany,632,1316.66,3
12527-GER,Return,Germany,234,348.71,3
12528-GER,Regular,Germany,756,1933.48,6
12530-GER,Return,Germany,913,1662.28,4
12531-GER,One time,Germany,45,125.22,1
12532-FRAN,One time,France,153,349.83,1
12534-GER,One time,Germany,651,1089.18,1
12535-FRAN,New,France,219,716.35,2
12536-FRAN,Return,France,2803,12601.83,3
12538-SPN,One time,Spain,191,363.95,1
12539-SPN,Return,Spain,2067,5568.35,4
12540-SPN,Regular,Spain,6685,13400.24,17
12541-SPN,Return,Spain,680,981.18,3
12544-SPN,One time,Spain,136,372.7,1
12545-SPN,New,Spain,523,1000.39,2
12546-SPN,New,Spain,633,1161.5,2
12547-SPN,New,Spain,134,207.8,2
12548-SPN,One time,Spain,49,95.2,1
12550-SPN,One time,Spain,569,964.83,1
12551-SPN,One time,Spain,100,168,1
12552-ITLY,New,Italy,88,437.82,2
12553-FRAN,Regular,France,1965,3692.28,10
12556-SPN,New,Spain,358,603.71,2
12557-SPN,Return,Spain,4384,11990.96,5
12558-USA,One time,United States,196,269.96,1
12559-GER,New,Germany,283,561.71,2
12560-GER,Return,Germany,1110,2134.01,3
12561-GER,One time,Germany,177,238.85,1
12562-FRAN,Regular,France,1779,3781.74,7
12564-FRAN,One time,France,133,456.9,1
12565-SARB,One time,Saudi Arabia,80,145.92,1
12566-GER,One time,Germany,265,351.65,1
12567-FRAN,Regular,France,4305,9401.28,10
12569-GER,Regular,Germany,1801,4124.69,32
12571-FRAN,New,France,523,519.61,2
12572-GER,New,Germany,452,1020.42,2
12573-FRAN,One time,France,84,160.54,1
12574-FRAN,One time,France,61,218.45,1
12576-POL,Return,Poland,967,1315.83,5
12577-FRAN,Return,France,472,657.8,3
12578-ITLY,New,Italy,1196,2794.51,2
12579-FRAN,One time,France,285,440.42,1
12580-GER,One time,Germany,238,415.7,1
12581-GER,One time,Germany,161,197.71,1
12582-FIN,New,Finland,300,511.36,2
12583-FRAN,Regular,France,5060,7281.38,15
12584-ITLY,Regular,Italy,416,2338.15,9
12585-GER,New,Germany,1279,2040.1,2
12586-ITLY,One time,Italy,79,196.94,1
12587-FIN,One time,Finland,51,144,1
12588-FIN,One time,Finland,53,214.9,1
12589-FRAN,New,France,306,646.68,2
12590-GER,New,Germany,4283,9864.26,2
12591-ITLY,One time,Italy,228,452.85,1
12592-GER,New,Germany,290,437.6,2
12593-FRAN,Return,France,206,418.1,3
12594-ITLY,Regular,Italy,1777,3338.22,10
12596-SPN,New,Spain,474,618.27,2
12597-SPN,Return,Spain,2236,3811.22,4
12598-FRAN,Return,France,1964,3023.08,8
12599-FRAN,Regular,France,956,1032.58,7
12600-GER,Regular,Germany,774,2599.04,10
12601-GER,Regular,Germany,245,577.06,5
12602-FRAN,One time,France,162,153.12,1
12603-GER,One time,Germany,64,739.2,1
12604-FRAN,New,France,201,254.18,2
12607-USA,One time,United States,1228,1579.51,1
12609-GER,Return,Germany,648,1126.85,3
12610-ITLY,Return,Italy,1049,2099.54,5
12611-ITLY,One time,Italy,846,1193.32,1
12612-GER,One time,Germany,262,704.04,1
12613-GER,Return,Germany,1644,3344.38,5
12614-GER,One time,Germany,76,315.6,1
12615-FRAN,Return,France,1376,2291.19,4
12616-FRAN,New,France,284,713.3,2
12617-FRAN,One time,France,213,355.53,1
12618-ITLY,One time,Italy,96,177.31,1
12619-GER,Regular,Germany,3378,3641.24,9
12620-FRAN,Return,France,1181,1339.41,3
12621-GER,Regular,Germany,7440,13689.67,20
12622-GER,One time,Germany,69,180.1,1
12623-GER,One time,Germany,191,305.1,1
12624-FRAN,New,France,355,641.13,2
12625-GER,New,Germany,1612,2683.82,2
12626-GER,Regular,Germany,3453,6620.48,9
12627-GER,Regular,Germany,2752,4478.53,7
12628-GER,Regular,Germany,448,786.46,3
12630-FIN,New,Finland,548,1270.88,2
12631-FIN,One time,Finland,236,640.5,1
12633-GER,Return,Germany,1162,2163.98,4
12635-GER,New,Germany,1172,1689.18,2
12637-FRAN,Regular,France,3002,6021.9,8
12638-SWDN,One time,Sweden,577,671.69,1
12639-SWDN,One time,Sweden,201,486.1,1
12640-FRAN,Return,France,311,1174.58,3
12641-SWDN,One time,Sweden,72,185.9,1
12642-GER,Return,Germany,552,1013.26,3
12643-FRAN,Return,France,1808,3344.64,6
12644-GER,One time,Germany,325,477.91,1
12645-GER,Return,Germany,1084,1775.18,4
12646-USA,New,United States,897,1346.97,2
12647-GER,Regular,Germany,1432,3722.82,12
12648-GER,One time,Germany,160,318.05,1
12649-GER,Return,Germany,586,623.51,3
12650-FRAN,One time,France,254,314.44,1
12651-FRAN,One time,France,78,114,1
12652-FRAN,One time,France,505,919.98,1
12653-ISRL,New,Israel,919,2209.85,2
12654-GER,Return,Germany,264,601.98,5
12656-FRAN,Regular,France,1723,4051.17,5
12657-FRAN,Regular,France,1044,1643.18,4
12658-GER,One time,Germany,320,686.05,1
12659-FRAN,One time,France,105,91.68,1
12660-FRAN,One time,France,127,245.1,1
12662-GER,Regular,Germany,2058,3849.78,11
12664-FIN,Regular,Finland,1203,4881.88,9
12665-GER,One time,Germany,37,63,1
12667-FIN,One time,Finland,395,620.13,1
12668-GER,Return,Germany,1634,3807.15,4
12669-FRAN,Return,France,1115,2744.03,3
12670-FRAN,Return,France,1397,2996.05,5
12672-FRAN,One time,France,78,225.9,1
12673-GER,New,Germany,351,610.52,2
12674-FRAN,Return,France,1133,1970.6,4
12676-SWDN,Regular,Sweden,670,1331.39,6
12678-FRAN,Regular,France,10923,17628.46,12
12679-FRAN,Return,France,554,1113.02,4
12680-FRAN,Return,France,443,862.81,4
12681-FRAN,Regular,France,7536,13787.54,22
12682-FRAN,Regular,France,5575,12288.22,31
12683-FRAN,Regular,France,4987,8476.57,15
12684-FRAN,Regular,France,1985,2283.63,7
12685-FRAN,Regular,France,1523,2863.08,6
12686-FRAN,One time,France,107,89.14,1
12688-ISRL,One time,Israel,3028,4873.81,1
12689-FRAN,New,France,628,1247.61,2
12690-FRAN,One time,France,106,389.01,1
12691-FRAN,Regular,France,394,1035.8,6
12693-GER,Return,Germany,255,855.91,4
12694-FRAN,New,France,509,869.67,2
12695-FRAN,Return,France,220,582.1,4
12697-SWDN,Return,Sweden,508,957.59,3
12700-FRAN,Return,France,2967,4939.99,4
12701-GER,New,Germany,678,797.71,2
12702-GER,One time,Germany,53,219,1
12703-GER,One time,Germany,164,283.55,1
12704-FIN,Regular,Finland,1006,2340.84,8
12705-GER,Regular,Germany,3997,6868.29,9
12707-FRAN,One time,France,256,603.42,1
12708-GER,Regular,Germany,1307,2712.91,10
12709-GER,Regular,Germany,3936,9736.52,15
12710-GER,Return,Germany,851,1149.02,3
12712-GER,Regular,Germany,1062,4396.13,13
12713-GER,One time,Germany,508,848.55,1
12714-FRAN,Return,France,3069,4708.86,5
12715-SWDN,One time,Sweden,197,353.86,1
12716-FRAN,New,France,708,1053.49,2
12717-GRC,New,Greece,506,1030.98,2
12718-FRAN,One time,France,203,238.25,1
12719-FRAN,New,France,374,644.95,2
12720-GER,Regular,Germany,4672,5781.73,25
12721-FRAN,Return,France,1959,2656.13,6
12722-FRAN,Regular,France,566,997.63,4
12723-FRAN,Regular,France,434,725.07,5
12724-FRAN,Return,France,445,1031.41,4
12725-ITLY,One time,Italy,164,427.8,1
12726-FRAN,Regular,France,3143,2609.1,7
12727-FRAN,Regular,France,2098,3980.7,7
12728-FRAN,Regular,France,419,836.33,4
12729-FRAN,One time,France,233,453.01,1
12731-FRAN,Regular,France,8437,18895.91,12
12732-FRAN,One time,France,111,236.26,1
12733-USA,One time,United States,137,383.95,1
12734-FRAN,One time,France,88,110.4,1
12735-FRAN,New,France,368,779.57,2
12736-FRAN,One time,France,173,234,1
12738-GER,One time,Germany,148,155.35,1
12739-UAE,New,United Arab Emirates,486,1013.04,2
12740-FRAN,One time,France,342,427.6,1
12744-SING,Return,Singapore,5241,21279.29,7
12747-UK,Regular,United Kingdom,1275,4196.01,11
12748-UK,Regular,United Kingdom,25748,33719.73,210
12749-UK,Return,United Kingdom,1471,4090.88,5
12750-POL,One time,Poland,137,275.88,1
12752-NORW,One time,Norway,2262,4366.78,1
12753-JPN,Regular,Japan,11421,21429.39,6
12754-JPN,Regular,Japan,6481,3010.74,3
12755-JPN,New,Japan,1491,3811.95,2
12756-JPN,One time,Japan,144,112.08,1
12757-PORT,Regular,Portugal,2402,7857.1,13
12758-PORT,New,Portugal,2135,2791.59,2
12759-NETH,Return,Netherlands,902,1531.44,3
12762-PORT,New,Portugal,1227,1898.52,2
12763-JPN,New,Japan,316,494.08,2
12764-LEBN,One time,Lebanon,386,1693.88,1
12766-PORT,Regular,Portugal,3646,6989.63,7
12769-BRZL,One time,Brazil,356,1143.6,1
12770-JPN,One time,Japan,743,1351.45,1
12772-PORT,One time,Portugal,556,892.47,1
12775-NETH,Regular,Netherlands,877,1386.04,5
12778-NETH,Return,Netherlands,825,822.23,6
12779-POL,Regular,Poland,2024,3981.36,8
12781-,New,Czech Republic,671,826.74,2
12782-PORT,Return,Portugal,1086,2330.92,5
12783-PORT,Regular,Portugal,624,2225.91,6
12784-PORT,New,Portugal,300,574.42,2
12785-PORT,One time,Portugal,131,311.95,1
12787-NETH,Return,Netherlands,261,463.66,3
12789-NETH,One time,Netherlands,4,91.85,1
12790-NETH,One time,Netherlands,166,324.92,1
12791-NETH,One time,Netherlands,97,192.6,1
12792-PORT,One time,Portugal,217,400.54,1
12793-PORT,New,Portugal,295,545.48,2
12794-PORT,New,Portugal,592,860.41,2
12795-PORT,One time,Portugal,68,430.48,1
12797-PORT,One time,Portugal,118,254.03,1
12798-JPN,Return,Japan,5256,6977.04,3
12802-NETH,One time,Netherlands,314,427.58,1
12808-PORT,Return,Portugal,188,483.65,3
12809-PORT,One time,Portugal,220,489.31,1
12811-PORT,Return,Portugal,230,514.85,3
12812-JPN,One time,Japan,164,229.64,1
12814-POL,One time,Poland,49,125.92,1
12815-POL,New,Poland,379,1063.46,2
12816-POL,New,Poland,128,572.2,2
